DB00547	DB00860	0.077
DB00547	DB01013	0.333
DB00547	DB00443	0.111
DB00547	DB00288	0.5
DB00547	DB00588	0.25
DB00547	DB00620	0.667
DB00547	DB00443	0.25
DB00547	DB01013	1.0
DB00547	DB00688	0.167
DB00547	DB00860	0.125
DB00547	DB00563	0.083
DB00967	DB00443	0.333
DB00967	DB00764	0.5
DB00967	DB01075	0.5
DB00967	DB00620	0.25
DB00967	DB00860	0.143
DB00967	DB00620	0.333
DB00967	DB00620	0.333
DB00967	DB00935	1.0
DB00967	DB01234	0.111
DB00967	DB00443	0.333
DB00967	DB00741	0.2
DB00967	DB01114	1.0
DB00967	DB00860	0.143
DB00967	DB00455	1.0
DB00967	DB00764	0.5
DB00967	DB00764	0.333
DB00967	DB00471	0.5
DB00967	DB01234	0.143
DB00967	DB00860	0.143
DB00967	DB00443	0.333
DB00967	DB00852	1.0
DB00967	DB01075	0.5
DB00967	DB00332	0.5
DB00967	DB01075	0.5
DB00967	DB00557	1.0
DB00967	DB01234	0.143
DB00967	DB00388	1.0
DB00967	DB00180	1.0
DB00967	DB00972	1.0
DB00967	DB00394	0.5
DB00967	DB00860	0.143
DB00967	DB00852	1.0
DB00967	DB00852	1.0
DB00967	DB00180	0.5
DB00967	DB00443	0.25
DB00967	DB01234	0.143
DB00967	DB00557	1.0
DB00967	DB00620	0.333
DB00967	DB00768	1.0
DB00967	DB00341	1.0
DB00967	DB00860	0.143
DB00967	DB01075	0.5
DB00967	DB00341	1.0
DB00967	DB00852	1.0
DB00967	DB01075	0.5
DB00967	DB00860	0.143
DB00967	DB01234	0.143
DB00967	DB00635	0.033
DB00967	DB00860	0.083
DB00967	DB00950	1.0
DB00967	DB00557	1.0
DB00967	DB01075	0.5
DB00967	DB01234	0.111
DB00967	DB01234	0.125
DB00967	DB00443	0.125
DB00967	DB01222	0.2
DB00967	DB00950	1.0
DB00967	DB00972	1.0
DB00967	DB00588	0.333
DB00967	DB00620	0.333
DB00967	DB00443	0.333
DB00967	DB00860	0.143
DB00967	DB00471	1.0
DB00967	DB01003	0.5
DB00967	DB01234	0.143
DB00967	DB01234	0.143
DB00967	DB00768	1.0
DB00983	DB00620	0.25
DB00983	DB00277	1.0
DB00983	DB00959	0.143
DB00983	DB00764	0.333
DB00983	DB00471	0.5
DB00983	DB00744	1.0
DB00983	DB00938	1.0
DB00983	DB00332	0.5
DB00983	DB00549	1.0
DB00983	DB00938	1.0
DB00983	DB00394	0.5
DB00983	DB00180	0.5
DB00983	DB00635	0.033
DB00983	DB00860	0.083
DB00983	DB01222	0.2
DB00983	DB00716	1.0
DB00983	DB01291	1.0
DB00983	DB01003	0.5
DB00492	DB00808	0.5
DB00492	DB00999	0.333
DB00492	DB00700	0.333
DB00492	DB00373	0.5
DB00492	DB00338	0.2
DB00492	DB00338	0.2
DB00492	DB00691	1.0
DB00492	DB00524	0.333
DB00492	DB00531	0.036
DB00492	DB00338	0.2
DB00492	DB00903	0.5
DB00492	DB00887	0.5
DB00492	DB00178	1.0
DB00492	DB00571	0.25
DB00492	DB00335	0.333
DB00492	DB00678	0.5
DB00492	DB00542	1.0
DB00492	DB01203	0.5
DB00492	DB00661	0.25
DB00492	DB00264	0.333
DB00492	DB00695	0.25
DB00492	DB01240	0.5
DB00492	DB00722	1.0
DB00492	DB00421	0.333
DB00492	DB01129	0.25
DB00492	DB00736	0.25
DB00492	DB00213	0.25
DB00492	DB00338	0.167
DB00492	DB01240	0.5
DB00492	DB00881	0.5
DB00492	DB00736	0.25
DB00492	DB00881	1.0
DB00492	DB00736	0.25
DB00492	DB00594	0.5
DB00492	DB00310	0.333
DB00492	DB00598	0.5
DB00492	DB01197	1.0
DB00492	DB00213	0.25
